,day,date,title,type,names_raw,biographies_raw,abstract,names_combined,named_title,video_title,filename,video_url,biographies_combined,date_str,video_text
0,1,2025-10-16T09:00:00+02:00,Welcome - Day 1,Opening/Closing,"('Orga',)","('',)","A welcome message and useful information from the organisers.

You will also find useful information on our website [www.python-summit.ch/venue](https://www.python-summit.ch/venue/). Or feel free to ask any member of staff if you have a question.",Orga,Orga - Welcome - Day 1,Orga - Welcome - Day 1 - SPS25,sps25_orga_-_welcome_-_day_1,<TODO>,,2025-10-16T09:00:00+02:00,"Talk recorded at the Swiss Python Summit on October 16th, 2025.

Licensed as Creative Commons Attribution 4.0 International.

---------
Abstract:

A welcome message and useful information from the organisers.

You will also find useful information on our website [www.python-summit.ch/venue](https://www.python-summit.ch/venue/). Or feel free to ask any member of staff if you have a question.

---------------------
About the speaker(s):


"
1,1,2025-10-16T09:10:00+02:00,When Close Enough is Good Enough,Talk,"('Tim Head',)","(""I am a maintainer of the scikit-learn machine-learning library. In the past I've worked on building and running mybinder.org and JupyterHub.\r\n\r\nI am employed by NVIDIA."",)","Sometimes getting an approximate answer is super good enough. How do you check for duplicates, count unique users, or track item popularity when your dataset won’t fit in memory? Enter probabilistic data structures like Bloom filters, Count-Min Sketches, and HyperLogLog! This talk introduces these powerful tools, demonstrates simple implementations in Python, and gives you ideas on when to use them.

Walk away ready to apply these techniques in your own projects - no advanced math required.",Tim Head,Tim Head - When Close Enough is Good Enough,Tim Head - When Close Enough is Good Enough - SPS25,sps25_tim_head_-_when_close_enough_is_good_enough,<TODO>,"I am a maintainer of the scikit-learn machine-learning library. In the past I've worked on building and running mybinder.org and JupyterHub.

I am employed by NVIDIA.",2025-10-16T09:10:00+02:00,"Talk recorded at the Swiss Python Summit on October 16th, 2025.

Licensed as Creative Commons Attribution 4.0 International.

---------
Abstract:

Sometimes getting an approximate answer is super good enough. How do you check for duplicates, count unique users, or track item popularity when your dataset won’t fit in memory? Enter probabilistic data structures like Bloom filters, Count-Min Sketches, and HyperLogLog! This talk introduces these powerful tools, demonstrates simple implementations in Python, and gives you ideas on when to use them.

Walk away ready to apply these techniques in your own projects - no advanced math required.

---------------------
About the speaker(s):

I am a maintainer of the scikit-learn machine-learning library. In the past I've worked on building and running mybinder.org and JupyterHub.

I am employed by NVIDIA.
"
2,1,2025-10-16T09:45:00+02:00,Code review in era of collaborative development,Talk,"('Andrii Soldatenko',)","('My name is Andrii Soldatenko. I am a sr. software engineer originally from Ukraine 🇺🇦, and I am currently living in Austria 🇦🇹. Public speaker (KCD, FOSDEM, GoDays, PyCons) and OSS contributor (Apache Airflow, Golang, OpenAPI, docker). I am a big fan of debuggers, Neovim, Rust.',)","Code review is a central part of everyday developer jobs. The motivation to create this talk was a quote:
“The most important superpower of a developer is complaining about everybody else's code.” In this talk, I’ll explain my approach to better code review.

Sometimes, it’s hard to convince a colleague about change or don’t change some lines of code. In my talk I would like to cover some best practices from my software engineering experience about efficient and honest code review. How to create a culture of perfect code review. How to apply automatic tools to improve code review routine of repetitive comments or suggestions. How to write/or reuse coding style guides for your team to reduce the time spent arguing about naming conventions and different styles.
What needs to be automated and what needs to be not automated during code review? The key role of patterns that can be reusable is not to confuse colleagues.",Andrii Soldatenko,Andrii Soldatenko - Code review in era of collaborative development,Andrii Soldatenko - Code review in era of collaborative development - SPS25,sps25_andrii_soldatenko_-_code_review_in_era_of_collaborative_developm,<TODO>,"My name is Andrii Soldatenko. I am a sr. software engineer originally from Ukraine 🇺🇦, and I am currently living in Austria 🇦🇹. Public speaker (KCD, FOSDEM, GoDays, PyCons) and OSS contributor (Apache Airflow, Golang, OpenAPI, docker). I am a big fan of debuggers, Neovim, Rust.",2025-10-16T09:45:00+02:00,"Talk recorded at the Swiss Python Summit on October 16th, 2025.

Licensed as Creative Commons Attribution 4.0 International.

---------
Abstract:

Code review is a central part of everyday developer jobs. The motivation to create this talk was a quote:
“The most important superpower of a developer is complaining about everybody else's code.” In this talk, I’ll explain my approach to better code review.

Sometimes, it’s hard to convince a colleague about change or don’t change some lines of code. In my talk I would like to cover some best practices from my software engineering experience about efficient and honest code review. How to create a culture of perfect code review. How to apply automatic tools to improve code review routine of repetitive comments or suggestions. How to write/or reuse coding style guides for your team to reduce the time spent arguing about naming conventions and different styles.
What needs to be automated and what needs to be not automated during code review? The key role of patterns that can be reusable is not to confuse colleagues.

---------------------
About the speaker(s):

My name is Andrii Soldatenko. I am a sr. software engineer originally from Ukraine 🇺🇦, and I am currently living in Austria 🇦🇹. Public speaker (KCD, FOSDEM, GoDays, PyCons) and OSS contributor (Apache Airflow, Golang, OpenAPI, docker). I am a big fan of debuggers, Neovim, Rust.
"
3,1,2025-10-16T11:00:00+02:00,Bytecode and .pyc files,Talk,"('Konrad Gawda',)","('Python, Linux and Open Source proponent. Cloud Evangelist, Python trainer and programmer. Reportedly seen at Warsaw Python meetups since the first PyWaw meeting ever. Recognized as an Inland Sailor by the Polish Sailing Association and as an inventor by the US Patent Office.',)","Bytecode, the internal language of instructions used by the interpreter is something that perhaps most Python developers have heard about, but few have dug into. This talk will try to explain the idea behind bytecode and how it works.
We will see how to extract bytecode from functions - with `dis` module, and from `.pyc` files (and what is the idea of `__pycache__` directories). Then, the other way around: we’ll check the possibility of building new functions with raw bytes in runtime.",Konrad Gawda,Konrad Gawda - Bytecode and .pyc files,Konrad Gawda - Bytecode and .pyc files - SPS25,sps25_konrad_gawda_-_bytecode_and_pyc_files,<TODO>,"Python, Linux and Open Source proponent. Cloud Evangelist, Python trainer and programmer. Reportedly seen at Warsaw Python meetups since the first PyWaw meeting ever. Recognized as an Inland Sailor by the Polish Sailing Association and as an inventor by the US Patent Office.",2025-10-16T11:00:00+02:00,"Talk recorded at the Swiss Python Summit on October 16th, 2025.

Licensed as Creative Commons Attribution 4.0 International.

---------
Abstract:

Bytecode, the internal language of instructions used by the interpreter is something that perhaps most Python developers have heard about, but few have dug into. This talk will try to explain the idea behind bytecode and how it works.
We will see how to extract bytecode from functions - with `dis` module, and from `.pyc` files (and what is the idea of `__pycache__` directories). Then, the other way around: we’ll check the possibility of building new functions with raw bytes in runtime.

---------------------
About the speaker(s):

Python, Linux and Open Source proponent. Cloud Evangelist, Python trainer and programmer. Reportedly seen at Warsaw Python meetups since the first PyWaw meeting ever. Recognized as an Inland Sailor by the Polish Sailing Association and as an inventor by the US Patent Office.
"
4,1,2025-10-16T11:35:00+02:00,"Why you, as a Python developer, should learn Rust",Talk,"('Daniel Szoke',)","('Hello! I am a software engineer working for Sentry in Vienna, Austria. I am the primary maintainer of [Sentry CLI](https://github.com/getsentry/sentry-cli) and I also help maintain the [Sentry Python SDK](https://github.com/getsentry/sentry-python).\r\n\r\nIn my free time, I enjoy skiing, hiking, swimming, running, bouldering, photography, traveling etc.\r\n\r\nI am originally from the US, and have been living in Austria since summer 2023. I speak four languages: English, Hungarian, German, and Spanish.',)","Why should you, as a Python developer, learn Rust? In this talk, we will explore Rust's compelling answers to this question. Rust offers guaranteed type safety and memory safety without a garbage collector, ""fearless concurrency,"" and incredible performance. We will look into some of Rust's most distinctive features from a Python perspective, including its strict compiler, the ownership and borrowing system, null safety via Option<T>, and explicit mutability. We will discover how Rust eliminates common runtime errors at compile time, and additionally, how understanding the concepts behind Rust's safety features can sharpen your Python skills, helping to write more robust and reliable code. By the end of the talk, you'll understand Rust's core value proposition and how its paradigms can benefit you, whether you are writing Python, Rust, or any other language.",Daniel Szoke,"Daniel Szoke - Why you, as a Python developer, should learn Rust","Daniel Szoke - Why you, as a Python developer, should learn Rust - SPS25",sps25_daniel_szoke_-_why_you_as_a_python_developer_should_learn_rust,<TODO>,"Hello! I am a software engineer working for Sentry in Vienna, Austria. I am the primary maintainer of [Sentry CLI](https://github.com/getsentry/sentry-cli) and I also help maintain the [Sentry Python SDK](https://github.com/getsentry/sentry-python).

In my free time, I enjoy skiing, hiking, swimming, running, bouldering, photography, traveling etc.

I am originally from the US, and have been living in Austria since summer 2023. I speak four languages: English, Hungarian, German, and Spanish.",2025-10-16T11:35:00+02:00,"Talk recorded at the Swiss Python Summit on October 16th, 2025.

Licensed as Creative Commons Attribution 4.0 International.

---------
Abstract:

Why should you, as a Python developer, learn Rust? In this talk, we will explore Rust's compelling answers to this question. Rust offers guaranteed type safety and memory safety without a garbage collector, ""fearless concurrency,"" and incredible performance. We will look into some of Rust's most distinctive features from a Python perspective, including its strict compiler, the ownership and borrowing system, null safety via Option<T>, and explicit mutability. We will discover how Rust eliminates common runtime errors at compile time, and additionally, how understanding the concepts behind Rust's safety features can sharpen your Python skills, helping to write more robust and reliable code. By the end of the talk, you'll understand Rust's core value proposition and how its paradigms can benefit you, whether you are writing Python, Rust, or any other language.

---------------------
About the speaker(s):

Hello! I am a software engineer working for Sentry in Vienna, Austria. I am the primary maintainer of [Sentry CLI](https://github.com/getsentry/sentry-cli) and I also help maintain the [Sentry Python SDK](https://github.com/getsentry/sentry-python).

In my free time, I enjoy skiing, hiking, swimming, running, bouldering, photography, traveling etc.

I am originally from the US, and have been living in Austria since summer 2023. I speak four languages: English, Hungarian, German, and Spanish.
"
5,1,2025-10-16T13:30:00+02:00,Functional Python: Saving Christmas with itertools & friends,Talk,"('Edoardo Baldi',)","('I’m a curious and analytical mind by nature. I’m a physicist turned research software engineer who enjoys both coding and wandering in the mountains—fortunately, I live in Switzerland. Outside work, I enjoy puzzles, retro tech, and meaningful conversations. I value exploration, both physical and intellectual.',)","Are you writing nested loops when solving coding challenges? Discover how Python's functional programming toolbox can transform your problem-solving approach.

We'll explore functional programming principles through the lens of Advent of Code puzzles, learning to think in streams of data rather than step-by-step instructions. We’ll explore some essential bits from `itertools`, `functools`, and `operator` modules, aiming to write more expressive, debuggable code.

Starting with pure functions and lazy evaluation, we'll build up to solving real AoC problems using techniques like:

- `itertools.pairwise()` for sequence comparisons
- `functools.reduce()` for data aggregation  
- `operator.itemgetter()` for elegant sorting
- Generator expressions for memory-efficient processing

Through some puzzles from various years, we’ll see how functional approaches often lead to more concise solutions that closely mirror the problem description. We'll compare imperative vs functional solutions, highlighting pros and cons of both approaches.

Whether you're preparing for coding interviews, tackling AoC, or just want to expand your Python toolkit, you'll leave with a couple more ideas for writing cleaner, more Pythonic code—no external dependencies required.",Edoardo Baldi,Edoardo Baldi - Functional Python: Saving Christmas with itertools & friends,Edoardo Baldi - Functional Python: Saving Christmas with itertools & friends - SPS25,sps25_edoardo_baldi_-_functional_python_saving_christmas_with_itertool,<TODO>,"I’m a curious and analytical mind by nature. I’m a physicist turned research software engineer who enjoys both coding and wandering in the mountains—fortunately, I live in Switzerland. Outside work, I enjoy puzzles, retro tech, and meaningful conversations. I value exploration, both physical and intellectual.",2025-10-16T13:30:00+02:00,"Talk recorded at the Swiss Python Summit on October 16th, 2025.

Licensed as Creative Commons Attribution 4.0 International.

---------
Abstract:

Are you writing nested loops when solving coding challenges? Discover how Python's functional programming toolbox can transform your problem-solving approach.

We'll explore functional programming principles through the lens of Advent of Code puzzles, learning to think in streams of data rather than step-by-step instructions. We’ll explore some essential bits from `itertools`, `functools`, and `operator` modules, aiming to write more expressive, debuggable code.

Starting with pure functions and lazy evaluation, we'll build up to solving real AoC problems using techniques like:

- `itertools.pairwise()` for sequence comparisons
- `functools.reduce()` for data aggregation  
- `operator.itemgetter()` for elegant sorting
- Generator expressions for memory-efficient processing

Through some puzzles from various years, we’ll see how functional approaches often lead to more concise solutions that closely mirror the problem description. We'll compare imperative vs functional solutions, highlighting pros and cons of both approaches.

Whether you're preparing for coding interviews, tackling AoC, or just want to expand your Python toolkit, you'll leave with a couple more ideas for writing cleaner, more Pythonic code—no external dependencies required.

---------------------
About the speaker(s):

I’m a curious and analytical mind by nature. I’m a physicist turned research software engineer who enjoys both coding and wandering in the mountains—fortunately, I live in Switzerland. Outside work, I enjoy puzzles, retro tech, and meaningful conversations. I value exploration, both physical and intellectual.
"
6,1,2025-10-16T14:00:00+02:00,Building Resilient Python Apps for Unreliable Networks,Talk,"('Emeka Onyebuchi',)","('Emeka Onyebuchi is a Python backend and AI engineer with years of experience building high-impact systems for companies across the fintech, civic tech, and energy sectors. He has led the development of scalable APIs, data platforms, and infrastructure for projects ranging from payment gateways to smart grid applications, often working in challenging environments where network reliability cannot be taken for granted.',)","In many parts of the world, especially across Africa, software cannot assume a stable internet connection. From rural communities to field agents working in transit or enforcement, the reality is simple: offline is the default, and sync is a luxury.

In this talk, we’ll explore how to build offline-first applications using Python — apps that work gracefully when the network doesn’t. Drawing from real-world civic and infrastructure projects scenarios in Nigeria, I’ll walk through techniques to queue, cache, and sync data locally, using tools like SQLite, Redis, Celery, and FastAPI. We’ll explore design patterns that prevent data loss, improve user experience, and simplify reconciliation once connectivity is restored.

Whether you’re building field data tools, mobile dashboards, or lightweight IoT integrations, this session will equip you with the mindset and technical building blocks to ensure your Python applications stay resilient — no matter the network conditions.",Emeka Onyebuchi,Emeka Onyebuchi - Building Resilient Python Apps for Unreliable Networks,Emeka Onyebuchi - Building Resilient Python Apps for Unreliable Networks - SPS25,sps25_emeka_onyebuchi_-_building_resilient_python_apps_for_unreliable_,<TODO>,"Emeka Onyebuchi is a Python backend and AI engineer with years of experience building high-impact systems for companies across the fintech, civic tech, and energy sectors. He has led the development of scalable APIs, data platforms, and infrastructure for projects ranging from payment gateways to smart grid applications, often working in challenging environments where network reliability cannot be taken for granted.",2025-10-16T14:00:00+02:00,"Talk recorded at the Swiss Python Summit on October 16th, 2025.

Licensed as Creative Commons Attribution 4.0 International.

---------
Abstract:

In many parts of the world, especially across Africa, software cannot assume a stable internet connection. From rural communities to field agents working in transit or enforcement, the reality is simple: offline is the default, and sync is a luxury.

In this talk, we’ll explore how to build offline-first applications using Python — apps that work gracefully when the network doesn’t. Drawing from real-world civic and infrastructure projects scenarios in Nigeria, I’ll walk through techniques to queue, cache, and sync data locally, using tools like SQLite, Redis, Celery, and FastAPI. We’ll explore design patterns that prevent data loss, improve user experience, and simplify reconciliation once connectivity is restored.

Whether you’re building field data tools, mobile dashboards, or lightweight IoT integrations, this session will equip you with the mindset and technical building blocks to ensure your Python applications stay resilient — no matter the network conditions.

---------------------
About the speaker(s):

Emeka Onyebuchi is a Python backend and AI engineer with years of experience building high-impact systems for companies across the fintech, civic tech, and energy sectors. He has led the development of scalable APIs, data platforms, and infrastructure for projects ranging from payment gateways to smart grid applications, often working in challenging environments where network reliability cannot be taken for granted.
"
7,1,2025-10-16T15:15:00+02:00,Software estimation: False sense of certainty,Talk,"('Ines Panker',)","(""I've been building software for almost 2 decades. \r\nI'm fascinated by elegant solutions to complex problems, finding simple, straightforward patterns in what at first glance appears to be unorganized chaos. \r\nAnd I love to observe the human aspect of software. People, human interactions and motivations are just as much integral to software development as the focus on solid architecture that is maintainable, scalable and efficient."",)","It has been known since the 70s that developers tend to give very optimistic estimations. 

We prefer to have exact numbers, even if that means they are wrong most of the time. 

In research, developers admitted that they believe their managers will see them as less competent if they provide estimates with huge margins. But mathematically speaking providing a wider min-max interval means you will be right more often.

Sp, maybe it isn’t really accuracy that businesses and people are looking for. Maybe estimates are needed for the sole purpose of risk aversion. 

Risk can be measured in other ways.

Maybe it is time we stop estimating tasks left and right and instead start managing the project’s risk and customer’s expectations.",Ines Panker,Ines Panker - Software estimation: False sense of certainty,Ines Panker - Software estimation: False sense of certainty - SPS25,sps25_ines_panker_-_software_estimation_false_sense_of_certainty,<TODO>,"I've been building software for almost 2 decades. 
I'm fascinated by elegant solutions to complex problems, finding simple, straightforward patterns in what at first glance appears to be unorganized chaos. 
And I love to observe the human aspect of software. People, human interactions and motivations are just as much integral to software development as the focus on solid architecture that is maintainable, scalable and efficient.",2025-10-16T15:15:00+02:00,"Talk recorded at the Swiss Python Summit on October 16th, 2025.

Licensed as Creative Commons Attribution 4.0 International.

---------
Abstract:

It has been known since the 70s that developers tend to give very optimistic estimations. 

We prefer to have exact numbers, even if that means they are wrong most of the time. 

In research, developers admitted that they believe their managers will see them as less competent if they provide estimates with huge margins. But mathematically speaking providing a wider min-max interval means you will be right more often.

Sp, maybe it isn’t really accuracy that businesses and people are looking for. Maybe estimates are needed for the sole purpose of risk aversion. 

Risk can be measured in other ways.

Maybe it is time we stop estimating tasks left and right and instead start managing the project’s risk and customer’s expectations.

---------------------
About the speaker(s):

I've been building software for almost 2 decades. 
I'm fascinated by elegant solutions to complex problems, finding simple, straightforward patterns in what at first glance appears to be unorganized chaos. 
And I love to observe the human aspect of software. People, human interactions and motivations are just as much integral to software development as the focus on solid architecture that is maintainable, scalable and efficient.
"
8,1,2025-10-16T15:50:00+02:00,Using Python's array API standard for ESA's Euclid mission,Talk,"('Saransh Chopra',)","('Saransh is a ""generalist"" research software engineer at UCL’s Advanced Research Computing Centre (at the time of writing this proposal), where he works on Python, HPC, DevOps, and Education projects. Before UCL, he was a research fellow at CERN working on computational physics software, and he will be joining EPFL as a graduate student this fall. Moreover, he develops and maintains several open-source scientific software, which he believes are the key to collaborative and reproducible research.',)","Over the years, the lack of an array data type in Python has resulted in the creation of numerous array libraries, each specializing in unique niches but still having some interoperability between each other. NumPy has become the de facto array library of Python, and the other array libraries try to keep their API close to that of NumPy. However, this often becomes infeasible, and the libraries deviate out of necessity. To make Python's array libraries shake hands with each other without any inconsistencies, the Consortium for Python Data API Standards has formalised an Array API standard for libraries offering array creation and manipulation operations.

The Array API standard allows users to write and use the same code for arrays belonging to any of the standard-conforming libraries. Through this talk, we will explore the need for such standardisation and discuss its salient features in detail. We will primarily delve into the example of using this standard to make specific parts of European Space Agency's Euclid space mission's code GPU and autodiff compatible. Besides cosmology, we will also take a look at a few other examples, mostly sourced from my experience working with and on several Python array libraries for scientific computing. Ultimately, the audience can expect to leave the room with the knowledge of both, the software engineering and the research side of the array API standard.",Saransh Chopra,Saransh Chopra - Using Python's array API standard for ESA's Euclid mission,Saransh Chopra - Using Python's array API standard for ESA's Euclid mission - SPS25,sps25_saransh_chopra_-_using_pythons_array_api_standard_for_esas_eucli,<TODO>,"Saransh is a ""generalist"" research software engineer at UCL’s Advanced Research Computing Centre (at the time of writing this proposal), where he works on Python, HPC, DevOps, and Education projects. Before UCL, he was a research fellow at CERN working on computational physics software, and he will be joining EPFL as a graduate student this fall. Moreover, he develops and maintains several open-source scientific software, which he believes are the key to collaborative and reproducible research.",2025-10-16T15:50:00+02:00,"Talk recorded at the Swiss Python Summit on October 16th, 2025.

Licensed as Creative Commons Attribution 4.0 International.

---------
Abstract:

Over the years, the lack of an array data type in Python has resulted in the creation of numerous array libraries, each specializing in unique niches but still having some interoperability between each other. NumPy has become the de facto array library of Python, and the other array libraries try to keep their API close to that of NumPy. However, this often becomes infeasible, and the libraries deviate out of necessity. To make Python's array libraries shake hands with each other without any inconsistencies, the Consortium for Python Data API Standards has formalised an Array API standard for libraries offering array creation and manipulation operations.

The Array API standard allows users to write and use the same code for arrays belonging to any of the standard-conforming libraries. Through this talk, we will explore the need for such standardisation and discuss its salient features in detail. We will primarily delve into the example of using this standard to make specific parts of European Space Agency's Euclid space mission's code GPU and autodiff compatible. Besides cosmology, we will also take a look at a few other examples, mostly sourced from my experience working with and on several Python array libraries for scientific computing. Ultimately, the audience can expect to leave the room with the knowledge of both, the software engineering and the research side of the array API standard.

---------------------
About the speaker(s):

Saransh is a ""generalist"" research software engineer at UCL’s Advanced Research Computing Centre (at the time of writing this proposal), where he works on Python, HPC, DevOps, and Education projects. Before UCL, he was a research fellow at CERN working on computational physics software, and he will be joining EPFL as a graduate student this fall. Moreover, he develops and maintains several open-source scientific software, which he believes are the key to collaborative and reproducible research.
"
9,1,2025-10-16T16:25:00+02:00,Lightning Talks - Day 1,Lightning Talks,"('Orga',)","('',)","Our Lightning Talks are open to everyone 😊

How it works:
– You can register directly at the conference. First come, first served.
– Any proposal is welcome, as long as your talk has something to do with Python and respects our [Code of Conduct](https://www.python-summit.ch/coc/). We reserve the right to reject talks.
– Talk time is strictly limited to 5 minutes.
– To keep turnaround times short, you will not be able to plug in your own device. We will provide a laptop with all slides. Please submit your slides as PDF via email at least 60 minutes before Lightning Talks start. 
– By registering, you accept that your talk may be recorded, published and streamed live (audio & video) under [Creative Commons Attribution 4.0 International license](https://creativecommons.org/licenses/by/4.0/deed.en).",Orga,Orga - Lightning Talks - Day 1,Orga - Lightning Talks - Day 1 - SPS25,sps25_orga_-_lightning_talks_-_day_1,<TODO>,,2025-10-16T16:25:00+02:00,"Talk recorded at the Swiss Python Summit on October 16th, 2025.

Licensed as Creative Commons Attribution 4.0 International.

---------
Abstract:

Our Lightning Talks are open to everyone 😊

How it works:
– You can register directly at the conference. First come, first served.
– Any proposal is welcome, as long as your talk has something to do with Python and respects our [Code of Conduct](https://www.python-summit.ch/coc/). We reserve the right to reject talks.
– Talk time is strictly limited to 5 minutes.
– To keep turnaround times short, you will not be able to plug in your own device. We will provide a laptop with all slides. Please submit your slides as PDF via email at least 60 minutes before Lightning Talks start. 
– By registering, you accept that your talk may be recorded, published and streamed live (audio & video) under [Creative Commons Attribution 4.0 International license](https://creativecommons.org/licenses/by/4.0/deed.en).

---------------------
About the speaker(s):


"
