,day,talk_idx,date,title,type,names_raw,names_combined,named_title,video_title,filename,video_url,date_str
0,1,0,2025-10-16T09:00:00+02:00,Welcome - Day 1,Opening/Closing,"('Orga',)",Orga,Orga - Welcome - Day 1,Orga - Welcome - Day 1 - SPS25,sps25_1-00_orga_-_welcome_-_day_1,<VIDEO_URL>,2025-10-16T09:00:00+02:00
1,1,1,2025-10-16T09:10:00+02:00,When Close Enough is Good Enough,Talk,"('Tim Head',)",Tim Head,Tim Head - When Close Enough is Good Enough,Tim Head - When Close Enough is Good Enough - SPS25,sps25_1-01_tim_head_-_when_close_enough_is_good_enough,<VIDEO_URL>,2025-10-16T09:10:00+02:00
2,1,2,2025-10-16T09:45:00+02:00,Code review in era of collaborative development,Talk,"('Andrii Soldatenko',)",Andrii Soldatenko,Andrii Soldatenko - Code review in era of collaborative development,Andrii Soldatenko - Code review in era of collaborative development - SPS25,sps25_1-02_andrii_soldatenko_-_code_review_in_era_of_collaborative_dev,<VIDEO_URL>,2025-10-16T09:45:00+02:00
3,1,3,2025-10-16T11:00:00+02:00,Bytecode and .pyc files,Talk,"('Konrad Gawda',)",Konrad Gawda,Konrad Gawda - Bytecode and .pyc files,Konrad Gawda - Bytecode and .pyc files - SPS25,sps25_1-03_konrad_gawda_-_bytecode_and_pyc_files,<VIDEO_URL>,2025-10-16T11:00:00+02:00
4,1,4,2025-10-16T11:35:00+02:00,"Why you, as a Python developer, should learn Rust",Talk,"('Daniel Szoke',)",Daniel Szoke,"Daniel Szoke - Why you, as a Python developer, should learn Rust","Daniel Szoke - Why you, as a Python developer, should learn Rust - SPS25",sps25_1-04_daniel_szoke_-_why_you_as_a_python_developer_should_learn_r,<VIDEO_URL>,2025-10-16T11:35:00+02:00
5,1,5,2025-10-16T13:30:00+02:00,Functional Python: Saving Christmas with itertools & friends,Talk,"('Edoardo Baldi',)",Edoardo Baldi,Edoardo Baldi - Functional Python: Saving Christmas with itertools & friends,Edoardo Baldi - Functional Python: Saving Christmas with itertools & friends - SPS25,sps25_1-05_edoardo_baldi_-_functional_python_saving_christmas_with_ite,<VIDEO_URL>,2025-10-16T13:30:00+02:00
6,1,6,2025-10-16T14:00:00+02:00,Building Resilient Python Apps for Unreliable Networks,Talk,"('Emeka Onyebuchi',)",Emeka Onyebuchi,Emeka Onyebuchi - Building Resilient Python Apps for Unreliable Networks,Emeka Onyebuchi - Building Resilient Python Apps for Unreliable Networks - SPS25,sps25_1-06_emeka_onyebuchi_-_building_resilient_python_apps_for_unreli,<VIDEO_URL>,2025-10-16T14:00:00+02:00
7,1,7,2025-10-16T15:15:00+02:00,Software estimation: False sense of certainty,Talk,"('Ines Panker',)",Ines Panker,Ines Panker - Software estimation: False sense of certainty,Ines Panker - Software estimation: False sense of certainty - SPS25,sps25_1-07_ines_panker_-_software_estimation_false_sense_of_certainty,<VIDEO_URL>,2025-10-16T15:15:00+02:00
8,1,8,2025-10-16T15:50:00+02:00,Using Python's array API standard for ESA's Euclid mission,Talk,"('Saransh Chopra',)",Saransh Chopra,Saransh Chopra - Using Python's array API standard for ESA's Euclid mission,Saransh Chopra - Using Python's array API standard for ESA's Euclid mission - SPS25,sps25_1-08_saransh_chopra_-_using_pythons_array_api_standard_for_esas_,<VIDEO_URL>,2025-10-16T15:50:00+02:00
9,1,9,2025-10-16T16:25:00+02:00,Lightning Talks - Day 1,Lightning Talks,"('Orga',)",Orga,Orga - Lightning Talks - Day 1,Orga - Lightning Talks - Day 1 - SPS25,sps25_1-09_orga_-_lightning_talks_-_day_1,<VIDEO_URL>,2025-10-16T16:25:00+02:00
10,1,10,2025-10-16T17:10:00+02:00,Closing - Day 1,Opening/Closing,"('Orga',)",Orga,Orga - Closing - Day 1,Orga - Closing - Day 1 - SPS25,sps25_1-10_orga_-_closing_-_day_1,<VIDEO_URL>,2025-10-16T17:10:00+02:00
11,2,0,2025-10-17T09:00:00+02:00,Welcome - Day 2,Opening/Closing,"('Orga',)",Orga,Orga - Welcome - Day 2,Orga - Welcome - Day 2 - SPS25,sps25_2-00_orga_-_welcome_-_day_2,<VIDEO_URL>,2025-10-17T09:00:00+02:00
12,2,1,2025-10-17T09:10:00+02:00,Machine learning for Swiss democracy,Talk,"('Vita Midori',)",Vita Midori,Vita Midori - Machine learning for Swiss democracy,Vita Midori - Machine learning for Swiss democracy - SPS25,sps25_2-01_vita_midori_-_machine_learning_for_swiss_democracy,<VIDEO_URL>,2025-10-17T09:10:00+02:00
13,2,2,2025-10-17T09:45:00+02:00,AI Coding Agents and how to code them,Talk,"('Alex Shershebnev',)",Alex Shershebnev,Alex Shershebnev - AI Coding Agents and how to code them,Alex Shershebnev - AI Coding Agents and how to code them - SPS25,sps25_2-02_alex_shershebnev_-_ai_coding_agents_and_how_to_code_them,<VIDEO_URL>,2025-10-17T09:45:00+02:00
14,2,3,2025-10-17T11:00:00+02:00,Causal ML for Smarter Advertising Campaigns with Python,Talk,"('Francesco Conti',)",Francesco Conti,Francesco Conti - Causal ML for Smarter Advertising Campaigns with Python,Francesco Conti - Causal ML for Smarter Advertising Campaigns with Python - SPS25,sps25_2-03_francesco_conti_-_causal_ml_for_smarter_advertising_campaig,<VIDEO_URL>,2025-10-17T11:00:00+02:00
15,2,4,2025-10-17T11:35:00+02:00,Docling: Get your documents ready for generative AI,Talk,"('Peter Staar', 'Michele Dolfi', 'Panos Vagenas', 'Nikos Livathinos')","Peter Staar, Michele Dolfi, Panos Vagenas, Nikos Livathinos","Peter Staar, Michele Dolfi, Panos Vagenas, Nikos Livathinos - Docling: Get your documents ready for generative AI","Peter Staar, Michele Dolfi, Panos Vagenas, Nikos Livathinos - Docling: Get your documents ready for generative AI - SPS25",sps25_2-04_peter_staar_michele_dolfi_panos_vagenas_nikos_livathinos_-_,<VIDEO_URL>,2025-10-17T11:35:00+02:00
16,2,5,2025-10-17T13:30:00+02:00,Agentic Cyber Defense with External Threat Intelligence,Talk,"('Jyoti Yadav',)",Jyoti Yadav,Jyoti Yadav - Agentic Cyber Defense with External Threat Intelligence,Jyoti Yadav - Agentic Cyber Defense with External Threat Intelligence - SPS25,sps25_2-05_jyoti_yadav_-_agentic_cyber_defense_with_external_threat_in,<VIDEO_URL>,2025-10-17T13:30:00+02:00
17,2,6,2025-10-17T14:05:00+02:00,Anonymization of sensitive information in financial document,Talk,"('Piotr Gryko',)",Piotr Gryko,Piotr Gryko - Anonymization of sensitive information in financial document,Piotr Gryko - Anonymization of sensitive information in financial document - SPS25,sps25_2-06_piotr_gryko_-_anonymization_of_sensitive_information_in_fin,<VIDEO_URL>,2025-10-17T14:05:00+02:00
